likesCount,text,cleaned_text,sentiment
0,"The “greenhouse effect” is concerned with the infrared radiation given off by the earth. The sun’s radiation basically passes through the oxygen and nitrogen in the earth’s atmosphere and lands on the earth’s surface, where 70% of it is absorbed; 30% is reflected back into the atmosphere. Part of this radiation bounces off the greenhouse gases and returns to be absorbed by earth. The greenhouses gases (GHGs) are water vapor (H2O), carbon dioxide (CO2), nitrous oxide (NO2) and methane (CH4).

How long does CO2 remain in the atmosphere? This is a difficult question because there are several processes that remove carbon dioxide from the atmosphere. From 65% to 80% of the CO2 that is released into the air dissolves into the ocean over a period of 50-200 years. The rest is removed over several hundred thousand years. According to the IPCC Fourth Assessment Report, about 50% of CO2 increase will be removed from the atmosphere within 30 years, another 30% will be removed within a few centuries and the remaining 20% may stay in the atmosphere for thousands of years. This means that if we could stop carbon dioxide emissions tomorrow, the carbon dioxide in the atmosphere would continue to warm the climate for thousands of years. Methane (CH4), by contrast, persists for about 12 years. Thus, even though methane is 26 times more potent than carbon dioxide, its effect is relatively short-lived. Furthermore, methane has increased from 700 ppb in 1750 to 1893 ppb today; notice that is parts per billion, not parts per million.

If the emissions of carbon dioxide into the atmosphere are causing global warming, how much will the earth warm up by the year 2100? This depends upon how many billions of tons of carbon dioxide are being emitted into the atmosphere. As a general rule, about 1 trillion tons of additional carbon dioxide in the atmosphere (actually 975 billion) will translate to about 125 ppm of additional carbon dioxide. Also, 125 ppm of additional carbon dioxide translates to about 1.8 °F (1 °C) in global warming. This can be verified by the fact that pre-industrial carbon dioxide was about 280 ppm and is now about 405 ppm. During this period, the planet warmed up about 1 °C.

Scientists have measured the amount of atmospheric carbon dioxide which corresponds to 1 ppm and have found that this corresponds to 7.8 billion metric tons of CO2 in the atmosphere. Therefore, in order to increase the global temperature by 1 °C, you would need 125 x 7.8 billion or 975 billion metric tons of carbon dioxide. A metric ton equals 1,000 kilograms (or 2.2 x 1,000 = 2,200 pounds); the U.S. is the only country in the world that does not use the metric ton. In 2016, the world pumped 36.1 billion metric tons (or 39.8 U.S. Gt) of carbon dioxide into the atmosphere. The average per capita emission of carbon dioxide is 7 metric tons per person per year. In the year 2100, there will be about 11 billion people. Therefore, in 2100, in a business-as-usual scenario, we can expect the world to emit 11 x 7 or 77 billion metric tons into the atmosphere per year or an average of 56.5 billion tons for the next 80 years, i.e., an accumulation of 4.52 trillion tons of CO2 by 2300.  Less 25% (1.13 Tt) due to carbon sinks (the oceans are almost saturated with CO2), the world will have an accumulation of 3.4Tt (4.52 – 1.13) of carbon in the atmosphere. Dividing 3.4 trillion tons of CO2 by 975 million = 3.48 °C (6.26 °F).  This means that the world will be 6.26 °F warmer in 2100 than it was in 2020.

The rise in sea level comes from two distinct processes: water expansions (3.3 feet) due to the added 6.26 °F of increased temperature and melting ice, mainly from Greenland (.41 feet) and the Antarctica (.2 feet) or 3.91 total feet by 2100, as well as increased extraction of groundwater due to irrigation.   Although we do not usually notice it, water expands very slightly as it gets warmer. The second and potentially greater contribution to rising sea level comes from the melting of glacial ice. Antarctica has 90% of the ice, Greenland has 9% of the ice (2,931 trillion tons of ice) and the remaining 1% is tied up in continental glaciers, which except for the Himalayas will all melt by 2100.  If Greenland completely melts, it will raise the sea level by about 24 feet (7.2 meters).  If the Antarctica completely melts, it will add 200 feet (or 60 meters) to the sea level rise.   

In the year 2100, I predict that fossil fuels will be almost depleted (coal may last until 2150) and that the temperature rise will level off. My model predicts that Greenland will be losing about 500 Gt of ice per year until the end of the century, resulting in about 0.41 feet of sea level rise by 2100.  In addition, the Antarctica will add another 0.2 feet of sea level rise. Adding this to the 3.3 feet for thermal warming results in a sea level rise of 3.9 feet.  Now add 2 feet due to melting of the West Antarctic Ice Sheet (WAIS) due to the collapse of the Pine Island and Thwaites glaciers and you have a 5.9 foot sea level rise by the end of the century.  NOAA (the National Oceanic and Atmospheric Administration) states that the oceans could rise 8 feet by 2100 under a worse-case scenario, namely a complete collapse of the WAIS.  

What effect would a 5.9 foot sea level rise have on the U.S.? Miami is one of the most vulnerable places to rising seas. About 2 million Americans would see their homes permanently flooded if sea levels rise just 3 feet. If the sea level rises 6 feet, 6 million Americans would see their homes permanently flooded. A new study predicts that as many as 13.1 million Americans in coastal areas will have to relocate by 2100 if the sea level rises 5.9 feet (1.8 meters), which is what I expect to be the most likely scenario.

In addition to sea-level rise, global warming is contributing to increases in the spread of insect-borne illnesses and crop-damaging pests. For example, diseases such as Zika, dengue fever and chikungunya are transmitted by mosquitoes, which pick up these diseases by biting infected people and then spreading them to other people through subsequent bites. Research has shown that warmer temperatures shorten the incubation period, which means the disease can spread more rapidly. Warmer temperatures also tend to increase the geographic range of insects.

Global warming also translates into more extreme weather events because higher temperatures mean an increase in energy in the atmosphere and oceans; energy is what drives weather. While we cannot attribute any particular storm to global warming, we can tie an overall trend to global warming. It makes logical sense that warm ocean waters give birth to more intense weather. Generally, hurricanes cannot survive for long over sea surfaces that are cooler than about 79 °F (26 °C). The longer the ocean waters stay above 79 °F, the more opportunity there is for a hurricane to blossom.

Lastly, global warming will result in more droughts, floods and water scarcity.  Demand for water has tripled during the past 50 years. Currently a half billion people live in a water-stressed country. By 2025, that number is expected to increase to about 3 billion. The vast majority of fresh water, about 70%, is used for agriculture. On the U.S. East Coast, much of the water supply comes from surface water, whereas most of the Midwest gets its water supply from a combination of surface waters and well water. The well water comes from underground aquifers such as the Ogallala Aquifer. At present rates of withdrawal, parts of the Ogallala Aquifer water will be available for irrigation for only another 10 to 20 years.",greenhouse effect concerned infrared radiation given earth suns radiation basically passes oxygen nitrogen earths atmosphere lands earths surface absorbed reflected atmosphere radiation bounces greenhouse gases returns absorbed earth greenhouses gases ghgs water vapor ho carbon dioxide nitrous oxide methane ch long does remain atmosphere difficult question processes remove carbon dioxide atmosphere released air dissolves ocean period years rest removed thousand years according ipcc fourth assessment report increase removed atmosphere years removed centuries remaining stay atmosphere thousands years means stop carbon dioxide emissions tomorrow carbon dioxide atmosphere continue warm climate thousands years methane ch contrast persists years methane times potent carbon dioxide effect relatively shortlived furthermore methane increased ppb ppb today notice parts billion parts million emissions carbon dioxide atmosphere causing global warming earth warm year depends billions tons carbon dioxide emitted atmosphere general rule trillion tons additional carbon dioxide atmosphere actually billion translate ppm additional carbon dioxide ppm additional carbon dioxide translates f c global warming verified fact preindustrial carbon dioxide ppm ppm period planet warmed c scientists measured atmospheric carbon dioxide corresponds ppm corresponds billion metric tons atmosphere order increase global temperature c need x billion billion metric tons carbon dioxide metric ton equals kilograms x pounds country world does use metric ton world pumped billion metric tons gt carbon dioxide atmosphere average capita emission carbon dioxide metric tons person year year billion people businessasusual scenario expect world emit x billion metric tons atmosphere year average billion tons years accumulation trillion tons tt carbon sinks oceans saturated world accumulation tt carbon atmosphere dividing trillion tons million c f means world f warmer rise sea level comes distinct processes water expansions feet added f increased temperature melting ice mainly greenland feet antarctica feet total feet increased extraction groundwater irrigation usually notice water expands slightly gets warmer second potentially greater contribution rising sea level comes melting glacial ice antarctica ice greenland ice trillion tons ice remaining tied continental glaciers himalayas melt greenland completely melts raise sea level feet meters antarctica completely melts add feet meters sea level rise year predict fossil fuels depleted coal temperature rise level model predicts greenland losing gt ice year end century resulting feet sea level rise addition antarctica add feet sea level rise adding feet thermal warming results sea level rise feet add feet melting west antarctic ice sheet wais collapse pine island thwaites glaciers foot sea level rise end century noaa national oceanic atmospheric administration states oceans rise feet worsecase scenario complete collapse wais effect foot sea level rise miami vulnerable places rising seas million americans homes permanently flooded sea levels rise just feet sea level rises feet million americans homes permanently flooded new study predicts million americans coastal areas relocate sea level rises feet meters expect likely scenario addition sealevel rise global warming contributing increases spread insectborne illnesses cropdamaging pests example diseases zika dengue fever chikungunya transmitted mosquitoes pick diseases biting infected people spreading people subsequent bites research shown warmer temperatures shorten incubation period means disease spread rapidly warmer temperatures tend increase geographic range insects global warming translates extreme weather events higher temperatures mean increase energy atmosphere oceans energy drives weather attribute particular storm global warming tie overall trend global warming makes logical sense warm ocean waters birth intense weather generally hurricanes survive long sea surfaces cooler f c longer ocean waters stay f opportunity hurricane blossom lastly global warming result droughts floods water scarcity demand water tripled past years currently half billion people live waterstressed country number expected increase billion vast majority fresh water used agriculture east coast water supply comes surface water midwest gets water supply combination surface waters water water comes underground aquifers ogallala aquifer present rates withdrawal parts ogallala aquifer water available irrigation years,Positive
0,No to plastic pollution,plastic pollution,Neutral
19,I was born in 1960 and spend a lot of time outdoors.  It’s getting hotter and storms are getting more intense.,born spend lot time outdoors getting hotter storms getting intense,Positive
2,We all have to move to the Sahara desert and use solar energy (very few trees to cut down in the Sahara),sahara desert use solar energy trees cut sahara,Neutral
0,So when did we start directly measure temperatures?,did start directly measure temperatures,Positive
1,😭,,Neutral
2,"Earth Sun Screen - We as Collaborative Earthlings Launch Lightweight Material such as thin film darkened (tinted) plastic or some lightweight barrier (carbon fiber) into Outer Space to act as a Sunscreen /awning / louvers /pergola between the Earth and the Sun. Placed in orbit to block out the hottest portion of the sun's rays.

Trojan Point / LaGrange Point - is the place between 2 orbiting bodies of gravity equilibrium. Equal pull in both directions. Wherein an object is stuck / suspended between the 2 orbiting bodies and appears motionless in the sky above. This point between the earth and the sun is called L1 (LaGrange1) andis located approx 3 weeks journey from earth,  Possible Timeline: If 100 square miles of material are needed. And if we can launch 1 square mile of Sun Screen material per launch. 100 launches would be needed to assemble the full sun screen panel. Meaning an initial SunScreen Could in theory be fully installed in 1-2 years.

The Orbital Earth Sun Screen could be UV Blocking or tinted different colors to change the color output of the sun's light to benefit / amplify plant life with less heat or bad UV rays. Acting as not only a tint / ""sunglass"" but also a UV Light filter, blocking harmful UV Rays, while changing the output color of the sun to help plants grow faster, with less direct UV heat.

An Orbital Sunscreen could act as a Thermostat to control the sun's output to the earth. Giving Mankind Climate Control. It takes 3 weeks to get to L1 Lagrange Point 1. Maintenance, service, and crew change missions are possible. 

This is Not a permanent fix. Only a delaying action.  
Can someone Calculate how big a 
Solid object 
Spaced apart panels
would have to be to have a 1 degree effect etc.?

Would any benefits come from this?
Adjustable Tint 
Change UV output / polarization for earth plantlife benefits
Change Output Color for plantlife Benefits? 

Thanks for any help or info on this matter",earth sun screen collaborative earthlings launch lightweight material film darkened tinted plastic lightweight barrier carbon fiber outer space act sunscreen awning louvers pergola earth sun placed orbit block hottest portion suns rays trojan point lagrange point place orbiting bodies gravity equilibrium equal pull directions object stuck suspended orbiting bodies appears motionless sky point earth sun called l lagrange andis located approx weeks journey earth possible timeline square miles material needed launch square mile sun screen material launch launches needed assemble sun screen panel meaning initial sunscreen theory fully installed years orbital earth sun screen uv blocking tinted different colors change color output suns light benefit amplify plant life heat bad uv rays acting tint sunglass uv light filter blocking harmful uv rays changing output color sun help plants grow faster direct uv heat orbital sunscreen act thermostat control suns output earth giving mankind climate control takes weeks l lagrange point maintenance service crew change missions possible permanent fix delaying action calculate big solid object spaced apart panels degree effect benefits come adjustable tint change uv output polarization earth plantlife benefits change output color plantlife benefits thanks help info matter,Positive
1,"This is what The CREATOR says about Climate abd weather.

 Amos 4:7
“I also withhold rain from you when the harvest was still three months away. I sent rain on one town, but withheld it from another. One field had rain; another had none and dried up.”

Zechariah 10:1
“Ask the Lord for rain in the season of spring rain. The Lord makes the rain clouds, and He will give them showers of rain and crops in the field for everyone.”

John 3:8
“The wind blows where it pleases, and you hear its sound, but you don’t know where it comes from or where it is going. So it is with everyone born of the Spirit.”",creator says climate abd weather amos withhold rain harvest months away sent rain town withheld field rain dried zechariah ask lord rain season spring rain lord makes rain clouds showers rain crops field john wind blows pleases hear sound dont know comes going born spirit,Positive
2,Awesome! Maybe I can start growing palm trees in my front yard?,awesome maybe start growing palm trees yard,Positive
1,"If climate action is also important to you, don’t miss this week’s Firelight Chat on Wednesday – Climate: Where We Are and What to Do. Marianne will be joined by Peter Kalmus, climate scientist and author of Being the Change: Live Well and Spark a Climate Revolution.
You can watch the stream live directly on our website, marianne2024.com, or follow on Facebook, Twitter, or YouTube this Wednesday, July 12th at 6pm ET/ 3pm PT.",climate action important dont miss weeks firelight chat wednesday climate marianne joined peter kalmus climate scientist author change live spark climate revolution watch stream live directly website mariannecom follow facebook twitter youtube wednesday july th pm et pm pt,Positive
2,Please urge your political representatives to wake up and fight the fossil fuel industry.,urge political representatives wake fight fossil fuel industry,Neutral
4,"Republicans would rather boil the planet and destroy the lives of future generations—than admit that liberals and scientists were correct about climate change. 

It’s literally that simple.",republicans boil planet destroy lives future generationsthan admit liberals scientists correct climate change literally simple,Negative
2,"Planet Earth is warming up fast.  Hurricanes, flooding, and spontaneous fires are occurring more often, with more intensity.",planet earth warming fast hurricanes flooding spontaneous fires occurring intensity,Positive
5,Now they're aware.,theyre aware,Positive
1,How can the heat of the planet be measured accurately unless the body of the thermometer is placed in space and only the sensitive part on the earth just as it would not be accurate to measure anything by imprisoning the whole thermometer in it?,heat planet measured accurately unless body thermometer placed space sensitive earth just accurate measure imprisoning thermometer,Positive
4,I guess we need to do more to reduce CO2 emissions 🤔,guess need reduce emissions,Neutral
2,"The “greenhouse effect” is concerned with the infrared radiation given off by the earth. The sun’s radiation basically passes through the oxygen and nitrogen in the earth’s atmosphere and lands on the earth’s surface, where 70% of it is absorbed; 30% is reflected back into the atmosphere. Part of this radiation bounces off the greenhouse gases and returns to be absorbed by earth. The greenhouses gases (GHGs) are water vapor (H2O), carbon dioxide (CO2), nitrous oxide (NO2) and methane (CH4).

How long does CO2 remain in the atmosphere? This is a difficult question because there are several processes that remove carbon dioxide from the atmosphere. From 65% to 80% of the CO2 that is released into the air dissolves into the ocean over a period of 50-200 years. The rest is removed over several hundred thousand years. According to the IPCC Fourth Assessment Report, about 50% of CO2 increase will be removed from the atmosphere within 30 years, another 30% will be removed within a few centuries and the remaining 20% may stay in the atmosphere for thousands of years. This means that if we could stop carbon dioxide emissions tomorrow, the carbon dioxide in the atmosphere would continue to warm the climate for thousands of years. Methane (CH4), by contrast, persists for about 12 years. Thus, even though methane is 26 times more potent than carbon dioxide, its effect is relatively short-lived. Furthermore, methane has increased from 700 ppb in 1750 to 1893 ppb today; notice that is parts per billion, not parts per million.

If the emissions of carbon dioxide into the atmosphere are causing global warming, how much will the earth warm up by the year 2100? This depends upon how many billions of tons of carbon dioxide are being emitted into the atmosphere. As a general rule, about 1 trillion tons of additional carbon dioxide in the atmosphere (actually 975 billion) will translate to about 125 ppm of additional carbon dioxide. Also, 125 ppm of additional carbon dioxide translates to about 1.8 °F (1 °C) in global warming. This can be verified by the fact that pre-industrial carbon dioxide was about 280 ppm and is now about 405 ppm. During this period, the planet warmed up about 1 °C.

Scientists have measured the amount of atmospheric carbon dioxide which corresponds to 1 ppm and have found that this corresponds to 7.8 billion metric tons of CO2 in the atmosphere. Therefore, in order to increase the global temperature by 1 °C, you would need 125 x 7.8 billion or 975 billion metric tons of carbon dioxide. A metric ton equals 1,000 kilograms (or 2.2 x 1,000 = 2,200 pounds); the U.S. is the only country in the world that does not use the metric ton. In 2016, the world pumped 36.1 billion metric tons (or 39.8 U.S. Gt) of carbon dioxide into the atmosphere. The average per capita emission of carbon dioxide is 7 metric tons per person per year. In the year 2100, there will be about 11 billion people. Therefore, in 2100, in a business-as-usual scenario, we can expect the world to emit 11 x 7 or 77 billion metric tons into the atmosphere per year or an average of 56.5 billion tons for the next 80 years, i.e., an accumulation of 4.52 trillion tons of CO2 by 2300.  Less 25% (1.13 Tt) due to carbon sinks (the oceans are almost saturated with CO2), the world will have an accumulation of 3.4Tt (4.52 – 1.13) of carbon in the atmosphere. Dividing 3.4 trillion tons of CO2 by 975 million = 3.48 °C (6.26 °F).  This means that the world will be 6.26 °F warmer in 2100 than it was in 2020.

The rise in sea level comes from two distinct processes: water expansions (3.3 feet) due to the added 6.26 °F of increased temperature and melting ice, mainly from Greenland (.41 feet) and the Antarctica (.2 feet) or 3.91 total feet by 2100, as well as increased extraction of groundwater due to irrigation.   Although we do not usually notice it, water expands very slightly as it gets warmer. The second and potentially greater contribution to rising sea level comes from the melting of glacial ice. Antarctica has 90% of the ice, Greenland has 9% of the ice (2,931 trillion tons of ice) and the remaining 1% is tied up in continental glaciers, which except for the Himalayas will all melt by 2100.  If Greenland completely melts, it will raise the sea level by about 24 feet (7.2 meters).  If the Antarctica completely melts, it will add 200 feet (or 60 meters) to the sea level rise.   

In the year 2100, I predict that fossil fuels will be almost depleted (coal may last until 2150) and that the temperature rise will level off. My model predicts that Greenland will be losing about 500 Gt of ice per year until the end of the century, resulting in about 0.41 feet of sea level rise by 2100.  In addition, the Antarctica will add another 0.2 feet of sea level rise. Adding this to the 3.3 feet for thermal warming results in a sea level rise of 3.9 feet.  Now add 2 feet due to melting of the West Antarctic Ice Sheet (WAIS) due to the collapse of the Pine Island and Thwaites glaciers and you have a 5.9 foot sea level rise by the end of the century.  NOAA (the National Oceanic and Atmospheric Administration) states that the oceans could rise 8 feet by 2100 under a worse-case scenario, namely a complete collapse of the WAIS.  

What effect would a 5.9 foot sea level rise have on the U.S.? Miami is one of the most vulnerable places to rising seas. About 2 million Americans would see their homes permanently flooded if sea levels rise just 3 feet. If the sea level rises 6 feet, 6 million Americans would see their homes permanently flooded. A new study predicts that as many as 13.1 million Americans in coastal areas will have to relocate by 2100 if the sea level rises 5.9 feet (1.8 meters), which is what I expect to be the most likely scenario.

In addition to sea-level rise, global warming is contributing to increases in the spread of insect-borne illnesses and crop-damaging pests. For example, diseases such as Zika, dengue fever and chikungunya are transmitted by mosquitoes, which pick up these diseases by biting infected people and then spreading them to other people through subsequent bites. Research has shown that warmer temperatures shorten the incubation period, which means the disease can spread more rapidly. Warmer temperatures also tend to increase the geographic range of insects.

Global warming also translates into more extreme weather events because higher temperatures mean an increase in energy in the atmosphere and oceans; energy is what drives weather. While we cannot attribute any particular storm to global warming, we can tie an overall trend to global warming. It makes logical sense that warm ocean waters give birth to more intense weather. Generally, hurricanes cannot survive for long over sea surfaces that are cooler than about 79 °F (26 °C). The longer the ocean waters stay above 79 °F, the more opportunity there is for a hurricane to blossom.

Lastly, global warming will result in more droughts, floods and water scarcity.  Demand for water has tripled during the past 50 years. Currently a half billion people live in a water-stressed country. By 2025, that number is expected to increase to about 3 billion. The vast majority of fresh water, about 70%, is used for agriculture. On the U.S. East Coast, much of the water supply comes from surface water, whereas most of the Midwest gets its water supply from a combination of surface waters and well water. The well water comes from underground aquifers such as the Ogallala Aquifer. At present rates of withdrawal, parts of the Ogallala Aquifer water will be available for irrigation for only another 10 to 20 years.",greenhouse effect concerned infrared radiation given earth suns radiation basically passes oxygen nitrogen earths atmosphere lands earths surface absorbed reflected atmosphere radiation bounces greenhouse gases returns absorbed earth greenhouses gases ghgs water vapor ho carbon dioxide nitrous oxide methane ch long does remain atmosphere difficult question processes remove carbon dioxide atmosphere released air dissolves ocean period years rest removed thousand years according ipcc fourth assessment report increase removed atmosphere years removed centuries remaining stay atmosphere thousands years means stop carbon dioxide emissions tomorrow carbon dioxide atmosphere continue warm climate thousands years methane ch contrast persists years methane times potent carbon dioxide effect relatively shortlived furthermore methane increased ppb ppb today notice parts billion parts million emissions carbon dioxide atmosphere causing global warming earth warm year depends billions tons carbon dioxide emitted atmosphere general rule trillion tons additional carbon dioxide atmosphere actually billion translate ppm additional carbon dioxide ppm additional carbon dioxide translates f c global warming verified fact preindustrial carbon dioxide ppm ppm period planet warmed c scientists measured atmospheric carbon dioxide corresponds ppm corresponds billion metric tons atmosphere order increase global temperature c need x billion billion metric tons carbon dioxide metric ton equals kilograms x pounds country world does use metric ton world pumped billion metric tons gt carbon dioxide atmosphere average capita emission carbon dioxide metric tons person year year billion people businessasusual scenario expect world emit x billion metric tons atmosphere year average billion tons years accumulation trillion tons tt carbon sinks oceans saturated world accumulation tt carbon atmosphere dividing trillion tons million c f means world f warmer rise sea level comes distinct processes water expansions feet added f increased temperature melting ice mainly greenland feet antarctica feet total feet increased extraction groundwater irrigation usually notice water expands slightly gets warmer second potentially greater contribution rising sea level comes melting glacial ice antarctica ice greenland ice trillion tons ice remaining tied continental glaciers himalayas melt greenland completely melts raise sea level feet meters antarctica completely melts add feet meters sea level rise year predict fossil fuels depleted coal temperature rise level model predicts greenland losing gt ice year end century resulting feet sea level rise addition antarctica add feet sea level rise adding feet thermal warming results sea level rise feet add feet melting west antarctic ice sheet wais collapse pine island thwaites glaciers foot sea level rise end century noaa national oceanic atmospheric administration states oceans rise feet worsecase scenario complete collapse wais effect foot sea level rise miami vulnerable places rising seas million americans homes permanently flooded sea levels rise just feet sea level rises feet million americans homes permanently flooded new study predicts million americans coastal areas relocate sea level rises feet meters expect likely scenario addition sealevel rise global warming contributing increases spread insectborne illnesses cropdamaging pests example diseases zika dengue fever chikungunya transmitted mosquitoes pick diseases biting infected people spreading people subsequent bites research shown warmer temperatures shorten incubation period means disease spread rapidly warmer temperatures tend increase geographic range insects global warming translates extreme weather events higher temperatures mean increase energy atmosphere oceans energy drives weather attribute particular storm global warming tie overall trend global warming makes logical sense warm ocean waters birth intense weather generally hurricanes survive long sea surfaces cooler f c longer ocean waters stay f opportunity hurricane blossom lastly global warming result droughts floods water scarcity demand water tripled past years currently half billion people live waterstressed country number expected increase billion vast majority fresh water used agriculture east coast water supply comes surface water midwest gets water supply combination surface waters water water comes underground aquifers ogallala aquifer present rates withdrawal parts ogallala aquifer water available irrigation years,Positive
2,nothing to see here folks....move right along....,folksmove right,Positive
1,I'm in disagreement with someone that says that the heat waves of the 1930s prove that current climate science is wrong about CO2 levels and climate change. What is a good counterpoint to make?,im disagreement says heat waves s prove current climate science wrong levels climate change good counterpoint make,Positive
9,We are speedrunning global ecosystem collapse.,speedrunning global ecosystem collapse,Neutral
